ID #HeavyAtom
DB00014 91
DB00035 74
DB00050 102
DB00091 85
DB00093 72
DB00104 71
DB00115 93
DB00116 32
DB00117 11
DB00118 27
DB00119 6
DB00120 12
DB00121 16
DB00122 7
DB00123 10
DB00125 12
DB00126 12
DB00127 14
DB00128 9
DB00129 9
DB00130 10
DB00131 23
DB00132 20
DB00133 7
DB00134 9
DB00135 13
DB00136 30
DB00137 42
DB00138 14
DB00139 8
DB00140 27
DB00141 15
DB00143 20
DB00144 25
DB00145 5
DB00146 29
DB00147 12
DB00148 9
DB00149 9
DB00150 15
DB00151 7
DB00152 18
DB00153 29
DB00154 22
DB00155 12
DB00156 8
DB00158 32
DB00159 22
DB00160 6
DB00161 8
DB00162 21
DB00163 31
DB00165 12
DB00166 12
DB00167 9
DB00168 21
DB00169 28
DB00170 13
DB00171 31
DB00172 8
DB00173 10
DB00174 9
DB00175 30
DB00176 22
DB00177 32
DB00178 30
DB00179 22
DB00180 31
DB00181 14
DB00182 10
DB00183 54
DB00184 12
DB00185 13
DB00186 21
DB00187 21
DB00188 28
DB00189 9
DB00190 17
DB00191 11
DB00192 23
DB00193 19
DB00194 19
DB00195 22
DB00196 22
DB00198 22
DB00199 51
DB00200 92
DB00201 14
DB00202 20
DB00203 33
DB00204 29
DB00205 17
DB00206 44
DB00207 52
DB00208 17
DB00209 29
DB00210 31
DB00211 18
DB00212 44
DB00213 26
DB00214 24
DB00215 24
DB00216 27
DB00217 13
DB00218 29
DB00219 25
DB00220 40
DB00221 17
DB00222 34
DB00223 29
DB00224 45
DB00225 31
DB00226 15
DB00227 29
DB00228 10
DB00229 34
DB00230 11
DB00231 21
DB00232 20
DB00233 11
DB00234 23
DB00235 16
DB00236 16
DB00237 15
DB00238 20
DB00239 26
DB00240 28
DB00241 16
DB00242 19
DB00243 31
DB00244 11
DB00245 23
DB00246 28
DB00247 26
DB00248 33
DB00249 17
DB00250 17
DB00251 36
DB00252 19
DB00253 25
DB00254 32
DB00255 20
DB00256 43
DB00257 25
DB00258 9
DB00259 11
DB00260 7
DB00261 16
DB00262 12
DB00263 18
DB00264 19
DB00265 15
DB00266 25
DB00267 33
DB00268 19
DB00270 27
DB00271 20
DB00272 8
DB00273 22
DB00274 30
DB00275 33
DB00276 28
DB00277 13
DB00278 35
DB00279 23
DB00280 25
DB00281 17
DB00282 13
DB00283 24
DB00284 44
DB00285 20
DB00286 25
DB00287 35
DB00288 36
DB00289 19
DB00290 96
DB00291 19
DB00292 18
DB00293 32
DB00294 24
DB00295 21
DB00296 20
DB00297 21
DB00298 24
DB00299 18
DB00300 19
DB00301 30
DB00302 11
DB00303 33
DB00304 23
DB00305 24
DB00306 16
DB00307 26
DB00308 26
DB00309 55
DB00310 22
DB00312 16
DB00313 10
DB00314 93
DB00315 21
DB00316 11
DB00317 31
DB00318 22
DB00319 36
DB00320 43
DB00321 21
DB00322 17
DB00323 20
DB00324 27
DB00325 13
DB00326 31
DB00327 21
DB00328 25
DB00330 14
DB00331 9
DB00332 25
DB00333 23
DB00334 22
DB00335 19
DB00336 14
DB00337 56
DB00338 24
DB00339 9
DB00340 22
DB00341 27
DB00343 29
DB00344 20
DB00345 14
DB00346 28
DB00347 10
DB00348 23
DB00349 21
DB00350 15
DB00351 27
DB00352 11
DB00353 25
DB00354 31
DB00355 28
DB00356 11
DB00357 17
DB00358 26
DB00359 17
DB00360 17
DB00361 57
DB00362 82
DB00363 23
DB00364 78
DB00366 20
DB00367 23
DB00368 12
DB00369 18
DB00370 20
DB00371 15
DB00373 21
DB00374 28
DB00375 18
DB00376 22
DB00377 22
DB00378 23
DB00379 13
DB00380 19
DB00381 28
DB00383 25
DB00384 19
DB00385 51
DB00387 21
DB00388 12
DB00389 12
DB00390 55
DB00391 23
DB00392 22
DB00393 30
DB00394 36
DB00395 18
DB00396 23
DB00397 11
DB00398 32
DB00399 16
DB00400 24
DB00401 28
DB00402 27
DB00403 94
DB00404 22
DB00405 19
DB00406 28
DB00407 70
DB00408 23
DB00409 22
DB00410 35
DB00411 11
DB00412 25
DB00413 14
DB00415 24
DB00417 24
DB00418 17
DB00419 15
DB00420 20
DB00421 29
DB00422 17
DB00423 17
DB00424 21
DB00425 23
DB00426 23
DB00427 21
DB00428 18
DB00429 34
DB00430 42
DB00431 12
DB00432 20
DB00433 25
DB00434 22
DB00435 2
DB00436 27
DB00437 10
DB00438 37
DB00440 21
DB00441 18
DB00442 20
DB00443 28
DB00444 46
DB00445 39
DB00446 20
DB00448 25
DB00449 25
DB00450 28
DB00451 24
DB00452 42
DB00453 35
DB00454 18
DB00455 27
DB00456 26
DB00457 28
DB00458 21
DB00459 24
DB00460 53
DB00461 17
DB00462 24
DB00464 19
DB00465 19
DB00467 23
DB00468 24
DB00469 22
DB00470 23
DB00471 41
DB00472 22
DB00473 19
DB00474 19
DB00475 21
DB00476 21
DB00477 21
DB00478 13
DB00479 40
DB00480 19
DB00481 34
DB00482 26
DB00483 39
DB00484 17
DB00485 30
DB00486 27
DB00487 24
DB00488 15
DB00489 18
DB00490 28
DB00491 14
DB00492 39
DB00493 30
DB00494 22
DB00495 19
DB00496 32
DB00497 23
DB00498 17
DB00499 19
DB00500 19
DB00501 17
DB00502 26
DB00503 50
DB00504 21
DB00507 21
DB00508 24
DB00509 24
DB00511 57
DB00512 101
DB00513 9
DB00514 20
DB00515 5
DB00516 9
DB00517 21
DB00518 18
DB00519 31
DB00520 77
DB00521 21
DB00523 22
DB00524 24
DB00525 22
DB00526 15
DB00527 25
DB00528 45
DB00529 7
DB00530 29
DB00531 14
DB00534 11
DB00535 26
DB00536 4
DB00537 24
DB00538 36
DB00539 29
DB00540 20
DB00541 60
DB00542 31
DB00543 22
DB00544 9
DB00545 13
DB00546 25
DB00547 27
DB00548 13
DB00549 41
DB00550 11
DB00551 5
DB00552 19
DB00553 16
DB00554 23
DB00555 16
DB00556 11
DB00557 26
DB00558 23
DB00559 39
DB00560 42
DB00561 28
DB00562 26
DB00563 33
DB00564 18
DB00565 87
DB00566 10
DB00567 24
DB00568 28
DB00569 101
DB00570 59
DB00571 19
DB00572 21
DB00573 18
DB00575 14
DB00576 17
DB00577 23
DB00578 26
DB00579 20
DB00581 23
DB00582 25
DB00583 11
DB00584 27
DB00585 21
DB00586 19
DB00587 29
DB00588 34
DB00589 25
DB00590 33
DB00591 32
DB00592 6
DB00593 10
DB00594 15
DB00595 33
DB00596 33
DB00597 29
DB00598 24
DB00599 16
DB00600 15
DB00601 24
DB00602 123
DB00603 28
DB00604 32
DB00605 25
DB00606 24
DB00607 29
DB00608 22
DB00609 11
DB00610 12
DB00611 24
DB00612 23
DB00613 25
DB00614 16
DB00615 61
DB00616 37
DB00617 11
DB00618 32
DB00619 37
DB00620 28
DB00621 22
DB00622 35
DB00623 30
DB00624 21
DB00625 21
DB00626 100
DB00627 9
DB00628 22
DB00629 14
DB00630 14
DB00631 20
DB00632 23
DB00633 15
DB00634 14
DB00635 26
DB00636 16
DB00637 34
DB00638 419
DB00639 25
DB00640 19
DB00641 30
DB00642 31
DB00643 22
DB00644 85
DB00645 21
DB00646 65
DB00647 25
DB00648 18
DB00649 16
DB00650 34
DB00651 18
DB00652 21
DB00653 6
DB00654 31
DB00655 20
DB00656 26
DB00657 12
DB00658 9
DB00659 11
DB00660 16
DB00661 33
DB00662 28
DB00663 35
DB00664 19
DB00665 22
DB00666 96
DB00667 18
DB00668 13
DB00669 20
DB00670 26
DB00671 30
DB00672 17
DB00673 37
DB00674 21
DB00675 28
DB00676 16
